_id	vector_id	timestamp	speed	elapsed	level_of_service	cin_id	creation_time
69893	315	2016-09-02T12:44:00Z	35.325207	3123.0	green	cin19970220T124452856442692140541620762368	1472820385
69894	278				green	cin19970220T125148856443108139983535023872	1468163402
69897	283	2016-09-04T07:03:00Z	69.5376	500.0	green	cin19970220T173134856459894140234834568960	1472972795
69898	282	2016-09-03T00:46:00Z	59.097816	595.0	green	cin19970220T200538856469138140541612369664	1472863664
69903	276	2016-09-02T19:39:00Z	4.9450727	4475.0	red	cin19970221T023405856492445140541629155072	1472845245
69907	313	2016-09-04T20:19:00Z	68.96848	666.0	green	cin19970221T142714856535234140234799036160	1473020464
69920	289				green	cin19970222T194123856640483139983576987392	1468174745
69922	312	2016-09-02T20:43:00Z	11.6830015	3918.0	green	cin19970222T231519856653319140541379467008	1472849006
69924	292	2016-09-04T15:27:00Z	61.22694	750.0	green	cin19970223T043030856672230140234842961664	1473002889
69927	292	2016-09-04T13:05:00Z	3.7424135	12237.0	green	cin19970223T140328856706608140234941646592	1472994398
69930	312	2016-09-02T20:46:00Z	11.6830015	3918.0	yellow	cin19970223T190540856724740140541637547776	1472849282
69931	292	2016-09-02T21:50:00Z	3.4932191	13081.0	red	cin19970223T202542856729542140541371074304	1472853115
69932	279				green	cin19970223T205338856731218139983560201984	1468090799
69934	347				yellow	cin19970223T224612856737972139983593772800	1468066483
69935	295	2016-09-02T18:32:00Z	18.108198	2265.0	yellow	cin19970224T102854856780134140541645940480	1472841233
69939	315	2016-09-02T07:05:00Z	58.68205	557.0	green	cin19970224T141935856793975140541612369664	1472799992
69944	292	2016-09-04T09:23:00Z	24.750238	1902.0	green	cin19970225T140551856879551140234817783552	1472981104
69948	285	2016-09-02T16:58:00Z	22.95968	7516.0	red	cin19970225T231919856912759140541371074304	1472835601
69950	283	2016-09-02T11:26:00Z	68.10106	621.0	green	cin19970226T112304856956184140541612369664	1472815641
69952	282	2016-09-03T17:23:00Z	75.56532	456.0	green	cin19970226T211521856991721140234950039296	1472923494
69960	347	2016-09-02T11:43:00Z	9.340895	7424.0	yellow	cin19970227T233954857086794140541396252416	1472816730
69963	312	2016-09-03T20:32:00Z	73.35577	624.0	green	cin19970228T071359857114039140234817783552	1472934863
69968	284	2016-09-02T19:50:00Z	67.78914	442.0	red	cin19970228T164239857148159140541387859712	1472845935
69970	284	2016-09-04T12:57:00Z	26.47723	3026.0	yellow	cin19970301T043637857190997140234799036160	1472993938
69976	311	2016-09-04T07:00:00Z			green	cin19970302T015610857267770140234933253888	1472972531
69977	316	2016-09-03T15:52:00Z	64.010056	506.0	green	cin19970302T041934857276374140234950039296	1472918009
69978	284	2016-09-02T12:48:00Z	72.72524	412.0	green	cin19970302T063949857284789140541645940480	1472820581
69986	310				green	cin19970303T215332857426012139983543416576	1468059712
69990	277	2016-09-03T15:44:00Z	10.445874	2145.0	green	cin19970304T121951857477991140234941646592	1472917518
69995	347	2016-09-02T14:35:00Z	47.726635	1453.0	green	cin19970305T065722857545042140541637547776	1472827003
69996	312	2016-09-03T08:31:00Z	66.20834	713.0	green	cin19970305T102109857557269140234933253888	1472891589
69998	282	2016-09-03T15:55:00Z	68.5988	501.0	green	cin19970305T154753857576873140234834568960	1472918205
70001	313	2016-09-04T18:02:00Z	55.092228	834.0	green	cin19970305T235648857606208140234834568960	1473012237
70004	316	2016-09-04T10:52:00Z	53.39286	625.0	green	cin19970306T060312857628192140234842961664	1472986416
70006	316	2016-09-02T19:23:00Z	70.07896	461.0	green	cin19970306T103547857644547140541387859712	1472844269
70008	284	2016-09-04T07:14:00Z	38.3156	782.0	green	cin19970306T222724857687244140234817783552	1472973341
70010	308	2016-09-03T08:18:00Z	44.98469	560.0	green	cin19970307T092715857726835140234842961664	1472890804
70011	310	2016-09-03T10:51:00Z	9.524374	7188.0	yellow	cin19970307T131446857740486140234941646592	1472900005
70012	312	2016-09-02T07:58:00Z	28.73855	1615.0	green	cin19970307T142508857744708140541320750848	1472803148
70017	346	2016-09-03T12:14:00Z	71.296745	645.0	green	cin19970307T202506857766306140234950039296	1472904930
70020	280	2016-09-03T07:22:00Z	47.981915	1360.0	green	cin19970308T044040857796040140234817783552	1472887429
70022	316	2016-09-02T11:04:00Z	39.7158	886.0	green	cin19970308T075256857807576140541387859712	1472814354
70026	280	2016-09-03T14:05:00Z	39.134293	974.0	green	cin19970308T142036857830836140234817783552	1472911598
70029	294	2016-09-02T12:35:00Z	60.944798	1257.0	green	cin19970309T101541857902541140541612369664	1472819798
70030	315	2016-09-03T12:12:00Z	66.81665	488.0	green	cin19970309T123130857910690140234826176256	1472904829
70033	290	2016-09-03T21:18:00Z	16.02	60.0	green	cin19970309T170046857926846140234941646592	1472937588
70036	284	2016-09-02T05:58:00Z	77.39152	388.0	green	cin19970309T225022857947822140541620762368	1472795992
70038	283	2016-09-02T18:11:00Z	69.3988	501.0	green	cin19970310T024147857961707140541320750848	1472839960
70040	319				green	cin19970311T003152858040312139983568594688	1468145199
70042	316	2016-09-03T00:05:00Z	62.856728	514.0	green	cin19970311T013956858044396140541645940480	1472861276
70046	290	2016-09-02T23:19:00Z	47.194763	30.0	green	cin19970311T113719858080239140541379467008	1472858494
70054	310	2016-09-04T16:00:00Z	55.29984	1238.0	green	cin19970312T040931858139771140234941646592	1473004901
70055	313	2016-09-04T16:40:00Z	63.713932	767.0	green	cin19970312T072402858151442140234924861184	1473007232
70056	282	2016-09-03T09:26:00Z	62.696808	713.0	green	cin19970312T083805858155885140234817783552	1472894844
70059	282	2016-09-02T13:00:00Z	70.90944	488.0	green	cin19970312T221826858205106140541371074304	1472821270
70064	282	2016-09-02T06:55:00Z	69.90858	493.0	green	cin19970313T113044858252644140541371074304	1472799398
70069	277	2016-09-03T06:37:00Z	67.63782	333.0	green	cin19970314T052426858317066140234834568960	1472884733
70070	285	2016-09-03T04:18:00Z	69.15701	428.0	green	cin19970314T171647858359807140234817783552	1472876352
70072	316	2016-09-02T15:42:00Z	46.939644	750.0	green	cin19970314T205313858372793140541387859712	1472830967
70076	283	2016-09-04T16:23:00Z	75.70026	460.0	green	cin19970315T102521858421521140234950039296	1473006270
70078	283	2016-09-04T17:32:00Z	73.97726	471.0	green	cin19970315T200811858456491140234842961664	1473010397
70081	292	2016-09-02T17:27:00Z	38.666466	1282.0	green	cin19970315T231813858467893140541620762368	1472837276
70083	316	2016-09-04T22:05:00Z	75.83662	426.0	green	cin19970316T141022858521422140234817783552	1473026846
70084	276	2016-09-03T02:15:00Z			green	cin19970317T022405858565445140234941646592	1472869054
70087	290	2016-09-02T04:05:00Z	73.93846	13.0	green	cin19970317T152003858612003140541629155072	1472789162
70089	288	2016-09-02T15:22:00Z	32.995667	32.0	green	cin19970317T193229858627149140541612369664	1472829772
70090	310	2016-09-02T18:50:00Z	44.40187	2158.0	green	cin19970318T002633858644793140541396252416	1472842304
